device_id,device_type,brand,model,os_version,app_version
D00001,iOS,Apple,iPhone 13,Android 12,5.2.2
D00002,Android,Realme,V29,iOS 18,5.1.8
D00003,iOS,Apple,iPhone 16,Android 13,5.1.8
D00004,Android,Motorola,Realme GT,Android 14,5.2.2
D00005,Android,Vivo,Galaxy A54,iOS 16,5.2.2
D00006,iOS,Apple,iPhone 16,Android 12,5.2.0
D00007,Android,Nothing,Galaxy S23,Android 12,5.2.0
D00008,Android,Motorola,Nord CE 3,iOS 16,5.1.8
D00009,iOS,Apple,iPhone 15,iOS 17,5.2.1
D00010,Android,Nothing,Galaxy A54,Android 14,5.2.1
D00011,iOS,Apple,iPhone 14,Android 12,5.2.0
D00012,Android,Nothing,V29,Android 13,5.2.1
D00013,Android,Realme,Phone 2,Android 13,5.1.8
D00014,iOS,Apple,iPhone 14,iOS 17,5.2.0
D00015,iOS,Apple,iPhone 14,Android 12,5.1.8
D00016,Android,OnePlus,Nord CE 3,Android 13,5.1.9
D00017,iOS,Apple,iPhone 13,iOS 17,5.2.2
D00018,iOS,Apple,iPhone 14,Android 14,5.1.9
D00019,Android,Xiaomi,Nord CE 3,Android 13,5.1.9
D00020,Android,Oppo,Phone 2,Android 13,5.1.9
D00021,Android,Xiaomi,Galaxy S23,iOS 16,5.1.9
D00022,Android,Xiaomi,Nord CE 3,iOS 16,5.2.1
D00023,iOS,Apple,iPhone 15,Android 12,5.2.2
D00024,Android,Motorola,Realme GT,Android 14,5.1.9
D00025,iOS,Apple,iPhone 15,iOS 17,5.2.2
D00026,Android,Xiaomi,Nord CE 3,iOS 17,5.2.0
D00027,iOS,Apple,iPhone 14,Android 13,5.2.1
D00028,iOS,Apple,iPhone 16,iOS 17,5.2.0
D00029,Android,Xiaomi,V29,Android 13,5.1.9
D00030,iOS,Apple,iPhone 14,Android 14,5.1.9
D00031,Android,Motorola,Galaxy S23,Android 14,5.2.2
D00032,iOS,Apple,iPhone 16,Android 12,5.2.2
D00033,Android,OnePlus,11T Pro,Android 12,5.2.0
D00034,Android,Realme,Phone 2,iOS 17,5.1.8
D00035,iOS,Apple,iPhone 16,Android 13,5.2.2
D00036,iOS,Apple,iPhone 16,Android 14,5.2.1
D00037,Android,OnePlus,Galaxy A54,Android 13,5.2.0
D00038,iOS,Apple,iPhone 16,Android 13,5.2.0
D00039,Android,Vivo,Reno 11,iOS 16,5.2.1
D00040,iOS,Apple,iPhone 15,iOS 18,5.2.0
D00041,Android,Samsung,Galaxy S23,iOS 16,5.2.1
D00042,Android,Vivo,V29,Android 14,5.2.0
D00043,Android,Samsung,Nord CE 3,iOS 16,5.1.9
D00044,Android,OnePlus,Galaxy A54,Android 14,5.2.1
D00045,iOS,Apple,iPhone 14,iOS 16,5.2.1
D00046,iOS,Apple,iPhone 14,Android 14,5.2.1
D00047,iOS,Apple,iPhone 13,iOS 17,5.1.9
D00048,iOS,Apple,iPhone 16,iOS 17,5.2.2
D00049,iOS,Apple,iPhone 13,Android 14,5.2.1
D00050,iOS,Apple,iPhone 14,iOS 17,5.2.0
D00051,Android,OnePlus,11T Pro,Android 13,5.2.1
D00052,iOS,Apple,iPhone 13,iOS 18,5.2.2
D00053,iOS,Apple,iPhone 15,iOS 18,5.2.2
D00054,Android,OnePlus,Realme GT,iOS 16,5.2.0
D00055,Android,Oppo,Galaxy S23,iOS 16,5.1.9
D00056,Android,Nothing,Realme GT,iOS 17,5.2.0
D00057,iOS,Apple,iPhone 15,Android 13,5.2.0
D00058,iOS,Apple,iPhone 14,iOS 16,5.1.9
D00059,iOS,Apple,iPhone 13,Android 13,5.2.1
D00060,iOS,Apple,iPhone 14,iOS 18,5.2.1
D00061,iOS,Apple,iPhone 13,Android 14,5.2.2
D00062,Android,Motorola,Edge 50,Android 12,5.1.9
D00063,Android,Xiaomi,Reno 11,Android 13,5.1.8
D00064,Android,Samsung,Phone 2,iOS 17,5.1.9
D00065,Android,Samsung,Nord CE 3,iOS 18,5.1.8
D00066,Android,Samsung,Edge 50,iOS 16,5.2.1
