session_id,user_id,device_id,session_date,hour,session_duration_minutes,screens_viewed,transactions_attempted
S0000001,U001816,D03985,2025-07-08,22,40,12,1
S0000002,U000891,D03911,2025-01-20,1,26,7,5
S0000003,U000680,D00852,2025-11-02,23,16,4,4
S0000004,U006019,D03281,2025-01-12,7,34,18,3
S0000005,U008486,D03843,2025-03-25,15,41,2,3
S0000006,U007579,D03236,2025-02-13,22,42,14,5
S0000007,U006318,D00207,2025-03-06,8,31,6,0
S0000008,U004187,D01529,2025-12-25,19,5,15,2
S0000009,U006309,D01846,2025-05-24,12,45,18,3
S0000010,U004559,D01833,2025-09-16,1,12,7,4
S0000011,U009921,D01096,2025-05-28,4,28,15,2
S0000012,U008122,D03920,2025-05-06,12,17,12,5
S0000013,U001105,D03669,2025-04-23,10,6,6,0
S0000014,U007333,D03850,2025-03-28,2,24,1,3
S0000015,U001636,D02114,2025-02-20,1,8,12,0
S0000016,U003286,D00360,2025-10-16,13,37,8,5
S0000017,U009752,D00900,2025-11-07,4,21,13,2
S0000018,U009512,D00342,2025-01-15,23,19,4,4
S0000019,U005305,D03383,2025-01-27,14,35,19,4
S0000020,U002332,D02018,2025-11-03,7,29,6,5
S0000021,U007555,D04359,2025-08-08,14,6,16,5
S0000022,U005765,D02471,2025-06-20,8,4,5,4
S0000023,U002368,D04422,2025-04-05,23,39,1,5
S0000024,U001417,D03030,2025-12-14,4,4,15,2
S0000025,U005752,D04195,2025-04-17,12,37,20,4
S0000026,U001871,D04320,2025-05-25,6,22,12,0
S0000027,U001775,D00563,2025-04-04,10,17,5,2
S0000028,U007160,D01674,2025-09-18,2,30,16,2
S0000029,U003933,D00517,2025-09-20,22,9,18,1
S0000030,U007263,D02621,2025-05-28,4,43,6,3
S0000031,U008208,D04670,2025-09-21,6,40,17,1
S0000032,U006483,D00538,2025-12-17,10,28,16,1
S0000033,U000720,D00194,2025-08-06,16,37,7,4
S0000034,U004822,D01955,2025-06-04,16,8,9,1
S0000035,U006581,D00233,2025-07-23,10,13,20,2
S0000036,U000894,D02025,2025-01-07,12,17,18,3
S0000037,U009247,D04162,2025-10-07,7,36,11,2
S0000038,U009600,D04317,2025-03-02,20,27,1,2
S0000039,U002154,D02796,2025-10-10,2,13,2,5
S0000040,U005796,D03890,2025-07-27,20,24,2,3
S0000041,U006007,D00911,2025-04-03,6,38,17,2
S0000042,U000771,D04923,2025-09-11,13,3,4,5
S0000043,U009586,D04566,2025-02-13,6,43,16,4
S0000044,U003731,D04664,2025-02-07,20,35,5,3
S0000045,U002751,D00502,2025-04-19,4,35,20,0
S0000046,U001711,D04070,2025-07-15,6,11,1,5
S0000047,U000358,D04969,2025-11-07,16,27,7,3
S0000048,U005291,D00358,2025-01-04,7,16,19,3
S0000049,U007287,D01728,2025-02-08,13,17,6,5
S0000050,U001984,D04099,2025-02-28,9,10,12,3
S0000051,U005294,D02805,2025-03-05,10,26,1,1
S0000052,U004802,D01287,2025-07-31,22,38,5,5
S0000053,U008481,D03556,2025-11-08,23,16,3,4
S0000054,U000297,D02471,2025-11-01,21,40,4,0
S0000055,U004230,D02702,2025-06-20,21,3,20,5
S0000056,U007353,D00942,2025-10-21,22,36,3,1
S0000057,U005218,D02640,2025-04-03,4,38,10,3
S0000058,U009916,D00611,2025-01-29,12,36,12,2
S0000059,U009405,D03895,2025-06-03,20,13,9,5
S0000060,U001692,D01527,2025-03-08,18,29,15,3
S0000061,U008512,D04601,2025-06-04,9,11,19,1
S0000062,U007696,D00071,2025-04-28,10,9,11,0
S0000063,U001599,D00218,2025-09-25,19,39,1,5
S0000064,U000692,D00402,2025-08-08,22,10,17,2
S0000065,U008540,D01987,2025-08-28,0,10,19,3
S0000066,U001214,D02743,2025-06-08,22,28,14,1
S0000067,U001271,D00886,2025-08-08,10,11,20,4
S0000068,U001625,D04712,2025-08-20,18,10,12,3
S0000069,U000017,D00388,2025-07-14,7,19,17,4
S0000070,U007612,D02466,2025-10-08,10,29,14,5
S0000071,U004874,D00160,2025-09-18,21,33,1,4
S0000072,U006176,D03466,2025-12-08,10,26,19,2
S0000073,U002925,D00989,2025-06-16,20,27,16,4
S0000074,U000730,D00420,2025-12-06,2,42,4,2
S0000075,U001988,D00728,2025-05-20,14,35,3,4
S0000076,U001833,D02336,2025-08-29,4,18,3,3
S0000077,U009707,D00926,2025-02-20,7,32,3,0
S0000078,U007446,D02046,2025-03-27,14,30,16,3
S0000079,U008042,D04606,2025-07-04,9,3,18,0
S0000080,U009781,D01009,2025-04-20,16,43,9,2
S0000081,U000624,D03201,2025-02-21,16,32,1,3
S0000082,U008998,D04164,2025-06-20,18,3,15,3
S0000083,U009797,D02706,2025-08-18,11,20,10,3
S0000084,U004381,D02113,2025-11-12,4,18,12,0
S0000085,U004003,D04557,2025-12-13,22,8,9,2
S0000086,U000478,D03013,2025-06-26,9,37,19,2
S0000087,U004282,D04903,2025-03-30,18,24,15,0
S0000088,U005048,D03705,2025-03-19,2,3,16,0
S0000089,U004389,D03122,2025-10-09,16,22,8,5
S0000090,U004805,D04162,2025-03-28,16,1,7,2
S0000091,U005355,D00316,2025-06-06,22,3,19,1
S0000092,U004330,D01576,2025-02-22,18,31,11,2
S0000093,U004573,D01062,2025-03-12,22,12,8,1
S0000094,U004315,D04890,2025-10-31,8,5,15,5
S0000095,U008279,D02795,2025-03-22,23,44,18,0
S0000096,U002933,D03679,2025-02-11,11,7,5,2
S0000097,U006155,D04721,2025-05-08,10,15,18,0
S0000098,U004329,D03067,2025-05-18,17,43,10,3
S0000099,U004716,D04114,2025-06-14,19,14,19,2
S0000100,U002336,D00403,2025-08-15,15,2,3,5
S0000101,U008752,D02895,2025-02-09,23,11,7,2
S0000102,U007297,D04087,2025-06-05,7,29,9,4
S0000103,U003497,D00679,2025-09-11,13,17,16,3
S0000104,U004787,D04369,2025-01-25,16,41,16,3
S0000105,U004949,D00831,2025-12-20,2,44,5,4
S0000106,U003783,D02518,2025-05-28,12,43,12,2
S0000107,U009950,D04868,2025-11-30,15,8,8,2
S0000108,U006206,D03387,2025-06-25,18,41,1,5
S0000109,U007474,D02907,2025-10-29,9,2,6,2
S0000110,U001118,D02682,2025-03-24,1,25,16,5
S0000111,U006616,D00806,2025-08-25,5,2,7,3
S0000112,U003274,D04460,2025-02-09,19,8,3,2
S0000113,U007199,D02835,2025-01-27,5,13,9,2
S0000114,U004617,D00166,2025-08-25,13,25,5,0
