ticket_id,transaction_id,user_id,issue_type,ticket_status,resolution_time_minutes,customer_rating
SP000001,T0036968,U001383,Bank Server Error,Resolved,1042,5
SP000002,T0096242,U004526,Transaction Pending,Resolved,952,4
SP000003,T0041132,U004479,UPI PIN Issue,In Progress,894,5
SP000004,T0023112,U004715,Refund Pending,Resolved,457,1
SP000005,T0076786,U008933,UPI PIN Issue,Resolved,90,4
SP000006,T0033943,U005485,Refund Pending,In Progress,1007,3
SP000007,T0013189,U004061,Refund Pending,Resolved,1230,3
SP000008,T0020316,U001414,Money Debited Not Credited,Resolved,1360,1
SP000009,T0010415,U009983,Duplicate Debit,Resolved,791,4
SP000010,T0096727,U007573,Duplicate Debit,Resolved,781,2
SP000011,T0017716,U000114,Bank Server Error,Resolved,254,5
SP000012,T0049032,U007288,Merchant Complaint,Resolved,302,1
SP000013,T0023275,U007341,Bank Server Error,Resolved,874,5
SP000014,T0019515,U000971,Refund Pending,In Progress,205,5
SP000015,T0021929,U004416,Transaction Pending,Open,1305,4
SP000016,T0096826,U000338,Money Debited Not Credited,Resolved,468,5
SP000017,T0028712,U007095,Duplicate Debit,Resolved,426,1
SP000018,T0082609,U008669,Bank Server Error,Resolved,229,4
SP000019,T0042384,U005308,Duplicate Debit,Open,270,5
SP000020,T0017446,U008405,Merchant Complaint,Resolved,164,5
SP000021,T0053249,U005197,Bank Server Error,Resolved,1090,3
SP000022,T0032893,U006037,UPI PIN Issue,Resolved,817,3
SP000023,T0035179,U001455,Bank Server Error,Resolved,613,2
SP000024,T0042589,U000109,Payment Failed,Resolved,926,1
SP000025,T0011172,U003884,Refund Pending,Open,548,1
SP000026,T0065457,U008574,Bank Server Error,In Progress,987,2
SP000027,T0005799,U008218,Money Debited Not Credited,Open,1159,2
SP000028,T0096358,U006773,Merchant Complaint,Resolved,132,5
SP000029,T0022208,U004204,UPI PIN Issue,In Progress,110,4
SP000030,T0040199,U002576,Transaction Pending,Resolved,1437,4
SP000031,T0086312,U001703,Transaction Pending,Resolved,1314,1
SP000032,T0057796,U005861,Refund Pending,Resolved,635,3
SP000033,T0012911,U005064,Bank Server Error,In Progress,160,3
SP000034,T0086013,U007545,UPI PIN Issue,Resolved,551,4
SP000035,T0036326,U004891,Duplicate Debit,Resolved,781,1
SP000036,T0066093,U006093,Refund Pending,In Progress,470,4
SP000037,T0013837,U007788,Bank Server Error,Resolved,141,1
SP000038,T0094490,U001093,UPI PIN Issue,Resolved,397,1
SP000039,T0062213,U008478,Transaction Pending,Open,95,1
SP000040,T0078720,U005975,Bank Server Error,Resolved,1116,1
SP000041,T0027470,U007588,Money Debited Not Credited,Resolved,827,1
SP000042,T0032212,U009801,Refund Pending,Resolved,326,3
SP000043,T0028355,U008394,UPI PIN Issue,In Progress,1156,2
SP000044,T0081213,U002319,Merchant Complaint,Resolved,427,1
SP000045,T0000199,U001189,Refund Pending,Resolved,825,4
SP000046,T0080332,U002484,Money Debited Not Credited,Resolved,959,3
SP000047,T0067418,U006548,Refund Pending,In Progress,1094,4
SP000048,T0083163,U004639,Bank Server Error,Resolved,876,5
SP000049,T0005615,U007052,Transaction Pending,Resolved,223,5
SP000050,T0009139,U006410,Merchant Complaint,Resolved,26,4
SP000051,T0054293,U005669,Payment Failed,Resolved,721,2
SP000052,T0035871,U008502,UPI PIN Issue,Resolved,645,4
SP000053,T0020114,U001567,Duplicate Debit,In Progress,166,5
SP000054,T0098302,U007034,Merchant Complaint,Resolved,1375,1
SP000055,T0091070,U008041,Merchant Complaint,Resolved,602,3
SP000056,T0073648,U008649,Merchant Complaint,Resolved,532,1
SP000057,T0064838,U001279,Bank Server Error,Open,410,1
SP000058,T0078132,U006987,Payment Failed,Resolved,907,1
SP000059,T0086044,U005176,Refund Pending,Resolved,648,4
SP000060,T0068718,U009627,Bank Server Error,Open,629,4
SP000061,T0006586,U000511,Merchant Complaint,In Progress,442,1
SP000062,T0077892,U009607,Money Debited Not Credited,Resolved,367,5
SP000063,T0097553,U002989,Transaction Pending,Resolved,61,4
SP000064,T0020990,U008830,Transaction Pending,Resolved,1098,5
SP000065,T0032200,U006838,Duplicate Debit,Resolved,534,5
SP000066,T0058489,U003666,Merchant Complaint,Resolved,768,2
SP000067,T0096916,U009599,Bank Server Error,Open,727,5
SP000068,T0068727,U004672,Bank Server Error,Resolved,78,4
SP000069,T0063424,U001129,UPI PIN Issue,In Progress,371,3
SP000070,T0091835,U002417,Duplicate Debit,Resolved,571,1
SP000071,T0021740,U009083,Bank Server Error,Resolved,584,5
SP000072,T0039391,U006876,Duplicate Debit,Resolved,940,4
SP000073,T0045871,U000840,Merchant Complaint,Resolved,1199,1
SP000074,T0021333,U008487,Bank Server Error,Resolved,1367,1
SP000075,T0024556,U002767,Bank Server Error,Resolved,1169,5
SP000076,T0042200,U005413,UPI PIN Issue,Resolved,549,4
SP000077,T0001700,U003371,Bank Server Error,Resolved,852,5
SP000078,T0033725,U002044,Bank Server Error,Resolved,401,1
SP000079,T0052545,U005025,Money Debited Not Credited,Resolved,1197,5
SP000080,T0009393,U006315,Refund Pending,In Progress,357,2
SP000081,T0061411,U004649,Transaction Pending,In Progress,1145,3
SP000082,T0033470,U002318,Money Debited Not Credited,Resolved,1351,3
SP000083,T0056981,U004759,Transaction Pending,Resolved,440,5
SP000084,T0011572,U009966,Transaction Pending,Resolved,790,3
SP000085,T0090527,U002831,Merchant Complaint,Resolved,195,5
SP000086,T0027715,U001153,Bank Server Error,Resolved,432,4
SP000087,T0036392,U005723,Refund Pending,Resolved,749,2
SP000088,T0085085,U005423,Refund Pending,Resolved,273,1
SP000089,T0037861,U002296,Payment Failed,In Progress,727,5
SP000090,T0043224,U006363,Transaction Pending,Resolved,801,3
SP000091,T0038734,U008894,Bank Server Error,Resolved,91,2
